ano;periodo;id_turma;media_final_geral;total_alunos;qtd_aprovado;qtd_desistencia;qtd_reprovado_por_média_e_por_faltas;qtd_trancado;qtd_aprovado_por_nota;qtd_reprovado;qtd_reprovado_por_faltas;qtd_reprovado_por_nota_e_falta;qtd_reprovado_por_nota
2013;1;1196516;4.922222222222222;33;9;0;15;0;0;9;0;0;0
2013;1;1196517;4.7727272727272725;35;11;0;17;0;0;7;0;0;0
2013;1;1196518;5.181250000000001;35;16;0;14;0;0;5;0;0;0
2013;1;1196519;4.241666666666667;32;12;0;13;0;0;7;0;0;0
2013;1;1196520;4.771428571428571;36;7;0;0;0;0;29;0;0;0
2013;1;1196521;4.917647058823529;35;17;0;14;0;0;4;0;0;0
2013;1;1196522;4.5200000000000005;32;5;0;17;0;0;10;0;0;0
2013;1;1196523;4.541666666666667;34;12;0;14;0;0;8;0;0;0
2013;1;1196524;4.36;30;5;0;0;0;0;25;0;0;0
2013;1;1196525;4.15;26;4;0;0;0;0;22;0;0;0
2013;1;1196526;4.655555555555555;30;9;0;17;0;0;4;0;0;0
2013;1;1196527;5.455555555555556;36;9;0;0;0;0;27;0;0;0
2013;1;1196528;4.67;26;10;0;10;0;0;6;0;0;0
2013;1;1196529;4.890909090909092;38;11;0;17;0;0;10;0;0;0
2013;1;1196530;4.340000000000001;36;5;0;25;0;0;6;0;0;0
2013;1;1196531;5.48;35;10;0;0;0;0;25;0;0;0
2013;1;1196532;5.247058823529412;39;17;0;10;0;0;12;0;0;0
2013;1;1196533;5.275;33;8;0;9;0;0;16;0;0;0
2013;1;1196534;5.3100000000000005;34;10;0;8;0;0;16;0;0;0
2013;1;1196535;5.385714285714285;38;7;0;22;0;0;9;0;0;0
2013;1;1196536;5.800000000000001;31;4;0;0;0;0;27;0;0;0
2013;1;1196537;4.970000000000001;34;10;0;0;0;0;24;0;0;0
2013;1;1196538;5.490909090909091;40;11;0;25;0;0;3;1;0;0
2013;1;1196539;5.7;35;6;0;25;0;0;4;0;0;0
2013;1;1196540;4.949999999999999;30;6;0;17;0;0;7;0;0;0
2013;1;1196541;6.258823529411765;35;17;0;14;0;0;4;0;0;0
2013;1;1196542;5.233333333333333;27;3;0;20;0;0;4;0;0;0
2013;1;1196543;5.26;38;5;0;22;0;0;11;0;0;0
2013;1;1196544;5.454545454545454;38;11;0;13;0;0;14;0;0;0
2013;1;1196545;4.547058823529412;35;17;0;0;0;0;18;0;0;0
2013;1;1196546;4.425;38;4;0;25;0;0;9;0;0;0
2013;1;1196547;6.15;23;6;0;16;0;0;1;0;0;0
2013;1;1196548;4.72;40;10;0;0;0;0;30;0;0;0
2013;1;1196549;4.359999999999999;23;5;0;0;0;0;18;0;0;0
2013;1;1196550;4.011111111111111;37;9;0;19;0;0;9;0;0;0
2013;1;1196551;5.466666666666668;36;6;0;22;0;0;8;0;0;0
2013;1;1196552;4.9;31;8;0;20;0;0;3;0;0;0
2013;1;1196553;5.033333333333333;32;9;0;0;0;0;23;0;0;0
2013;1;1196554;3.7;39;5;0;34;0;0;0;0;0;0
2013;1;1196555;4.7625;38;8;0;26;0;0;4;0;0;0
2013;1;1196556;5.433333333333334;40;6;0;0;0;0;34;0;0;0
2013;1;1196557;5.0200000000000005;36;5;0;22;0;0;9;0;0;0
2013;1;1196558;4.74;38;5;0;23;0;0;10;0;0;0
2013;1;1196559;4.8;39;10;0;25;0;0;4;0;0;0
2013;1;1196560;5.27;39;10;0;26;0;0;3;0;0;0
